Name,Alignment,Type,Tier,Cost,Power,Health/Duration,Card Text,Rarity
Abyss-eyed Kraken,Aq,Organism - Kraken,3,2,7,4,"At the end of your turn, you may draw cards equal to the number of organisms you control, then put that many cards from your hand on top of your deck in any order.",
Ancient Ray,Aq,Organism- Fish,2,3,1,1,This gets +1 health for each card you have in your hand.,
Aquarius Cetus,Aq,Organism - Whale Zodiac,2,5,3,7,"When this enters play, you may have any number of organisms you control die. Draw cards equal to twice the amount of organisms that died this way.",
Carrion Crab,Aq,Organism - Crab,1,2,1,1,"When this dies, shuffle up to three organisms from your discard pile into your deck.",
Chrono Eel,Aq,Organism - Fish,3,1,2,3,"When this enters play, advance the lunar phase. Once during your turn, you can discard a plant from play. If you do, return this to your hand from play.",
Cleaner Shrimp,Aq,Organism - Shrimp,1,2,0,1,Tier three and four organisms you control get +2 power and +2 health.,
Clear Sky Herald,Aq,Organism - Bird,2,2,1,2,When this enters play or dies you may discard any number of weather from play.,
Cuttlefish Mimic,Aq,Organism - Fish,2,2,1,2,"If an effect would increase the stats of, or add counters to another organism, apply those same increases to this as well.",
Devouring Leviathan,Aq,Organism - Whale,2,4,3,7,"When an organism this damages dies, this gets 2 vitality counters.",
Elusive Shoal,Aq,Organism - Fish,2,4,2,4,"Whenever a fish you control blocks or gets attacked, it gets +2 health until end of turn.",
Enormous Cancer,Aq,Organism - Crustacean Zodiac,1,3,1,2,"When this enters play, put a grip counter on an organism. Organisms with grip counters cannot attack or block.",
Forboding Ursine,Aq,Organism - Bear,3,2,5,7,"Aggressive. If control a frigid terrain, when an opponent attacks an organism you control, draw a card. (You draw a card for each attacking creature.)",
Giant Clam,Aq,Organism - Clam,1,3,0,1,"High Tide: Put a counter on this. During your start step, for each weather in play, put a counter on this. This gets +1 health for each counter on it.",
Gleaming Shoal,Aq,Organism - Fish,2,2,2,1,"When this blocks, draw a card.",
Harsh Flooding,Aq,Weather,4,1,,2,Plants cannot be played.,
Hurricane,Aq,Weather,2,3,,4,"During each player's start step, they return a tiered organism of their choice from play to their hand.",
Lightning Shrimp,Aq,Organism - Elemental Shrimp,1,2,0,1,"When a weather gets put into your discard pile from play, you may deal 1 damage to any organism.",
